Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.42
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.7
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.4
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,3.6
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.09
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.26
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.14
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.2
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.22
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.47
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.7
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,1.2
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.6
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.12
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.14
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.18
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.2
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.34
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,1.03
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,4.8
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,12.2
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.13
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.17
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.19
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.2
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.32
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,0.9
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,1.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,3.4
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 25-29 with no education,BAR.NOED.2529.ZS,8
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,6.42
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,9.55
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,11.44
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,13.3
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,16.26
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,21.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,26.9
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,33.5
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,44.3
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,4.1
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,6.27
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,7.45
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,8.7
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,11.02
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,15.41
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,19.7
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,25.2
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,34.3
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.14
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.17
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.26
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.4
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,0.63
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,1.03
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,2
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,4.8
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,12.2
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.15
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.19
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.26
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.3
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.52
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,0.9
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,1.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,3.4
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,8
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.2
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.25
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.44
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,0.6
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,1.28
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.81
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,10.3
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,18.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,35.2
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.2
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.26
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.42
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.5
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,0.93
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,3.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,6.7
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,12.2
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,24
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.3
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.45
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,0.91
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,1.3
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,3.14
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,5.81
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,10.3
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,18.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,35.2
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.3
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.45
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.77
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,0.9
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,2.08
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,3.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,6.7
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,12.2
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,24
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,0.54
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,0.98
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,1.95
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,3.4
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,8
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,22.76
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,33.4
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,47.8
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,63.9
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,0.51
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,0.86
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,1.48
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,2.3
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,5.12
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,14.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,23
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,35.4
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,50
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,1.1
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,2.24
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,4.94
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,9.3
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,16.87
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,22.76
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,33.4
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,47.8
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,63.9
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,0.94
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,1.72
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,3.35
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,5.9
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,10.69
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,14.87
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,23
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,35.4
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,50
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,2.47
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,5.96
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,12.99
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,19.5
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,31.19
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,68.33
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,75.1
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,80.1
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,78.8
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,1.85
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,4.07
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,8.46
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,12.5
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,20.71
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,55.49
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,63.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,69.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,66.9
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,6.73
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,15.7
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,25.21
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,34.7
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,66.69
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,68.33
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,75.1
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,80.1
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,91.6
"Korea, Rep.",KOR,2010,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,4.53
"Korea, Rep.",KOR,2005,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,10.49
"Korea, Rep.",KOR,2000,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,16.64
"Korea, Rep.",KOR,1995,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,23.4
"Korea, Rep.",KOR,1990,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,54.21
"Korea, Rep.",KOR,1985,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,55.49
"Korea, Rep.",KOR,1980,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,63.5
"Korea, Rep.",KOR,1975,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,69.9
"Korea, Rep.",KOR,1970,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,84.6
"Korea, Rep.",KOR,2010,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,3407
"Korea, Rep.",KOR,2005,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,3222
"Korea, Rep.",KOR,2000,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,3788
"Korea, Rep.",KOR,1995,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,3930
"Korea, Rep.",KOR,1990,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,4464
"Korea, Rep.",KOR,1985,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,4348
"Korea, Rep.",KOR,1980,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,4659
"Korea, Rep.",KOR,1975,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,4412
"Korea, Rep.",KOR,1970,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,3129
